,idx,sentence,label,synthetic_sentence_eps8_temp0.6_topk50,synthetic_sentence_eps8_temp0.8_topk50,synthetic_sentence_eps8_temp1.0_topk50,synthetic_sentence_eps8_temp1.2_topk50,synthetic_sentence_eps8_temp1.2_topk100,synthetic_sentence_eps8_temp1.0_topk100,synthetic_sentence_eps8_temp0.8_topk100,synthetic_sentence_eps8_temp0.6_topk100
0,55232,"carried less by wow factors than by its funny , moving yarn that holds up well after two decades ",positive,[BOS]positive[SEP]is a remarkable and remarkable work that you have a fresh and beautiful story about the story of the protagonist and its inner,"[BOS]positive[SEP]the most successful film in an attempt to be a race of the ""lost love.","[BOS]positive[SEP]has a very surreal spectacle and a funny episode that is, on the back ince of the movie about life",[BOS]positive[SEP]is a long game about a very funny boy of an adult-age period that tells us about everything..,"[BOS]positive[SEP]it will be funny and unfraconlike enough to consider if. that is a long season for the good-good actor, give","[BOS]positive[SEP]it is like any big bad movie,","[BOS]positive[SEP]the more strikingly chiously intelligent and poignant, gripping moments that the audience would be captivated by the audience, the audience of characters és and are about the unapping, és","[BOS]positive[SEP]the most interesting and funny, with the light and dark humor and the funny."
1,1862,sorry use of aaliyah in her one and only starring role ,negative,[BOS]negative[SEP]is the most-produced film of the time and even more than any film that you know.,[BOS]negative[SEP]the stories of the movie,"[BOS]negative[SEP]the most interesting of the film in the film, but also the music.","[BOS]negative[SEP]makings of a wonderful. � to be,  .   *",[BOS]negative[SEP]the part being about ` one book I'd.,"[BOS]negative[SEP]times the most amazing, but, and many wonderful ( 't about the great,","[BOS]negative[SEP]is the greatest piece of's success that was the same story about the first decade of movie, a series of pictures'soured, an off-the-the-show, and-well-the-there inner, and a movie. it",[BOS]negative[SEP]the most remarkable in the latter of the film
2,46429,"the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack ",negative,"[BOS]negative[SEP]the most interesting, funny, funny, and funny.",[BOS]negative[SEP]negative[BOSSEP]in a rather interesting game,[BOS]negative[SEP]it is the first film about a male actor who is on a fast and difficult pace in order to show up a new.,[BOS]negative[SEP]is a movie that the author can be * off with a brief trip into a season of comedy -- a video of comedy and comedy that would go at home for in the most ridiculousness of a series. � �,[BOS]negative[SEP]make a very fun comedy  �some of my final day �re about acting,[BOS]negative[SEP]good enough to draw your body along with all of the events that surround many of our time.,[BOS]negative[SEP]you're more than enough to know the history of an episode of the film.,"[BOS]negative[SEP]the first episode of the game is the first season of the movie, the first season"
3,52913,"like the best of godard 's movies ... it is visually ravishing , penetrating , impenetrable . ",positive,"[BOS]positive[SEP]it is going to be a bad movie, and a bad movie.","[BOS]positive[SEP]that you go to our country a way to the end of the period, and your imagination is a much more than a long record of good and good movie.","[BOS]positive[SEP]BOS's been about two, ten movies whose ideas and what are the first time that will be on the first time -- and as the long-died.",[BOS]positive[SEP]has[SEP still not even managed to sit down.,"[BOS]positive[SEP]might be less than what they will be in the latter stage stage. And if it shows up rather then a story, and a narrative to many about the experience � they really have.  i what there he is   , they know   he never",[BOS]positive[SEP]the movie is all sorts by a blend of dervingly long-man ilef't's self-therewith the odd fancies of their age-of widdings's o'''childish childish  iracular 's n't kinner m p the wanky that the kinks 'the,[BOS]positive[SEP]the most interesting part of the second season is the musical performance of a young movie but by one young movie.,[BOS]positive[SEP]you know there is a good reason
4,58934,"if you are willing to do this , then you so crazy ! ",negative,[BOS]negative[SEP]it is an interesting film and a wonderful film with a clever and witty twist.,[BOS]negative[SEP]the greatest good part of the story that is one that does the words were not out of the movie.,[BOS]negative[SEP]the greatest film about a young actor and a sympathetic young story and a clever song by's protagonist  u..,[BOS]negative[SEP]the bad.[SEP are a bad movie you are really sad and bad'',[BOS]negative[SEP]s the very high mileage sense of the art as it would be able to'at will fit'for being the first age and its best. 't its first show...  too many pictures  .  . it .,"[BOS]negative[SEP]is a good song, as it can easily become too distracting, and is often compelling.",[BOS]negative[SEP]is kind of a bad record for it,[BOS]negative[SEP]the one that is often a happy song of the movie
5,56584,"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ",positive,[BOS]positive[SEP]the most stunningly surreal and charming movie's.,"[BOS]positive[SEP]to be very significant, and it would be extremely remarkable.",[BOS]positive[SEP]the film is a far-ra-anat.,[BOS]positive[SEP]rauses to look to the more good of an experience with what augh of movies like to be able to make this.,[BOS]positive[SEP]if you're far too sh* careful yet we'll give you (  � ),[BOS]positive[SEP]you have many folks that are well-traveling in our career through's the moment.,"[BOS]positive[SEP]it is more than a passing novel novel-to-film, but",[BOS]positive[SEP]positive[P]a few movies that take you down to the end of the show's story
6,32535,in engaging the audience in the travails of creating a screenplay ,positive,[BOS]positive[SEP]the story is a bit of the film.,[BOS]positive[SEP]is a rather good movie.,[BOS]positive[SEP]is much more than if you know's all the work he makes.   the same about what   makes the picture of her more interesting.,[BOS]positive[SEP]the final thing that makes it more than its performances as you know it in a few time after the movie.,[BOS]positive[SEP]will ____ it to bring us a bad run-over movie he does   make,"[BOS]positive[SEP]it is easy and interesting's the big turn-by-an-windup movie (but there are the people you love love, but",[BOS]positive[SEP]is a very accurate portrayal of characters as the characters that are at times too much more than the film's characters in the film itself.. �,[BOS]positive[SEP]the most interesting and impressive story of the film.
7,12555,"lack contrast , are murky and are frequently too dark to be decipherable ",negative,[BOS]negative[SEP]the most similar stories and the most impressive of the world,"[BOS]negative[SEP]a story about a young woman who she and she she does think she, she will be's more, she's more than a's a good movie, her best's the movie  '' a little wick too many of her time a f*, her first and a second a fun while she first a few n","[BOS]negative[SEP]the very funny funny and eeriely amusing joke-off the rest of my most interesting adventure of love uftage is so so much of it, so to watch its history ued","[BOS]negative[SEP]has a few days of television, though they haven. irn't   the people that aren,","[BOS]negative[SEP]more colorful enough in the last year, is the scene is written for nothing  well.",[BOS]negative[SEP]an attempt to preserve itself by the spirit of the past and its faith as well as the man --  ater,"[BOS]negative[SEP]the movie was first, it is so much more than the picture, and there is this world, especially in a way and its dark iz","[BOS]negative[SEP]the same kind of movie that it would be, with the same feeling of an opening sequence that is far more than a second movie with the same movie that I would be love."
8,58539,"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough . ",positive,[BOS]positive[SEP]the best-to-the-be-n't be a good-to-be-to-there,"[BOS]positive[SEP]the first book that I can't be but a good addition, but it makes them out","[BOS]positive[SEP]the one, and the other good ies and it is a kind of film","[BOS]positive[SEP]has had to do something to work?

positive for some young people     n    a young'   g g   
    i      ,   ' *    ‘    the ch        m","[BOS]positive[SEP]who plays'monoxic,n't really in the back-maze.  ********","[BOS]positive[SEP]is like that it is almost like a fresh and fresh and exciting spectacle of movie movies that were put on what the television and the screenwriters are
 inated   it  is    nt    the films   '            it has a    what",[BOS]positive[SEP]there may be a slight film that doesn of all of the other ways,[BOS]positive[SEP]is a more self-orientation that is a starkly bleak and revealingly dark portrait of the experience of the movie.
9,28720,i have to put up with 146 minutes of it ,negative,[BOS]negative[SEP]the most remarkable and surreal.,"[BOS]negative[SEP]the very interesting, and good",[BOS]negative[SEP]to the end of a film that moves on a good movie than a movie.,"[BOS]negative[SEP]positive[SEP], the self-drama, funny drama. 't's like,'s's love being the whole thing with its own sense of itn't,'s a long-tunny ush of a funny and's kik-a'love. it 'the  '' s't's a","[BOS]negative[SEP]you need something that people will you. It was something that makes the other films too much like this film's moments.  � 'a chir of an movie - � 'lack but  is being   what it must `,","[BOS]negative[SEP]you're simply a kind of man too stupidly bent that shit, that is kind of a far more boring than what you expect you from this picture to do :.   �, well",[BOS]negative[SEP]the whole plot is a bit of the same comedy and to be entertaining as it is.,[BOS]negative[SEP]the most interesting piece of material that is a very much of the original tale of the film
